index,title,description,figure,references,definition,keywords,prediction,object
11.,project risk managment,"project risk management includes the processes of conducting risk management planning, identification, analysis,  response planning, response implementation, and monitoring risk on a project. the objectives of project risk management  are to increase the probability and/or impact of positive risks and to decrease the probability and/or impact of negative  risks, in order to optimize the chances of project success. the project risk management processes are: 11.1 plan risk managementthe process of defining how to conduct risk management activities for a project. 11.2 identify risksthe process of identifying individual project risks as well as sources of overall project risk,  and documenting their characteristics. 11.3 perform qualitative risk analysisthe process of prioritizing individual project risks for further analysis  or action by assessing their probability of occurrence and impact as well as other characteristics. 11.4 perform quantitative risk analysisthe process of numerically analyzing the combined effect of identified  individual project risks and other sources of uncertainty on overall project objectives. 11.5 plan risk responsesthe process of developing options, selecting strategies, and agreeing on actions to  address overall project risk exposure, as well as to treat individual project risks. 11.6 implement risk responsesthe process of implementing agreed-upon risk response plans. 11.7 monitor risksthe process of monitoring the implementation of agreed-upon risk response plans,  tracking identified risks, identifying and analyzing new risks, and evaluating risk process effectiveness throughout  the project.  provides an overview of the project risk management processes. the project management risk processes  are presented as discrete processes with defined interfaces while, in practice, they overlap and interact in ways that  cannot be completely detailed in this pmbok guide.not for not for distribution, sale or reproduction. key concepts for project risk management all projects are risky since they are unique undertakings with varying degrees of complexity that aim to deliver  benefits. they do this in a context of constraints and assumptions, while responding to stakeholder expectations that  may be conflicting and changing. organizations should choose to take project risk in a controlled and intentional manner  in order to create value while balancing risk and reward. project risk management aims to identify and manage risks that are not addressed by the other project management  processes. when unmanaged, these risks have the potential to cause the project to deviate from the plan and fail to  achieve the defined project objectives. consequently, the effectiveness of project risk management is directly related  to project success. risk exists at two levels within every project. each project contains individual risks that can affect the achievement of  project objectives. it is also important to consider the riskiness of the overall project, which arises from the combination  of individual project risks and other sources of uncertainty. project risk management processes address both levels of  risk in projects, and these are defined as follows:  individual project risk is an uncertain event or condition that, if it occurs, has a positive or negative effect on  one or more project objectives.  overall project risk is the effect of uncertainty on the project as a whole, arising from all sources of uncertainty  including individual risks, representing the exposure of stakeholders to the implications of variations in project  outcome, both positive and negative. individual project risks can have a positive or negative effect on project objectives if they occur. project risk  management aims to exploit or enhance positive risks (opportunities) while avoiding or mitigating negative risks  (threats). unmanaged threats may result in issues or problems such as delay, cost overruns, performance shortfall,  or loss of reputation. opportunities that are captured can lead to benefits such as reduced time and cost, improved  performance, or reputation. overall project risk can also be positive or negative. management of overall project risk aims to keep project risk  exposure within an acceptable range by reducing drivers of negative variation, promoting drivers of positive variation,  and maximizing the probability of achieving overall project objectives.not for distribution, sale or reproduction. risks will continue to emerge during the lifetime of the project, so project risk management processes should be conducted  iteratively. risk is initially addressed during project planning by shaping the project strategy. risk should also be monitored and  managed as the project progresses to ensure that the project stays on track and emergent risks are addressed. in order to manage risk effectively on a particular project, the project team needs to know what level of risk exposure  is acceptable in pursuit of the project objectives. this is defined by measurable risk thresholds that reflect the risk  appetite of the organization and project stakeholders. risk thresholds express the degree of acceptable variation around  a project objective. they are explicitly stated and communicated to the project team and reflected in the definitions of  risk impact levels for the project. trends and emerging practices in project risk management the focus of project risk management is broadening to ensure that all types of risk are considered, and that project  risks are understood in a wider context. trends and emerging practices for project risk management include but are  not limited to:  non-event risks. most projects focus only on risks that are uncertain future events that may or may not occur.  examples of event-based risks include: a key seller may go out of business during the project, the customer may  change the requirement after design is complete, or a subcontractor may propose enhancements to the standard  operating processes. there is an increasing recognition that non-event risks need to be identified and managed. there are two main  types of non-event risks:  variability risk. uncertainty exists about some key characteristics of a planned event or activity or decision.  examples of variability risks include: productivity may be above or below target, the number of errors found  during testing may be higher or lower than expected, or unseasonal weather conditions may occur during the  construction phase.  ambiguity risk. uncertainty exists about what might happen in the future. areas of the project where  imperfect knowledge might affect the project ability to achieve its objectives include: elements of the  requirement or technical solution, future developments in regulatory frameworks, or inherent systemic  complexity in the project.not for distribution, sale or reproduction. variability risks can be addressed using monte carlo analysis, with the range of variation reflected in probability  distributions, followed by actions to reduce the spread of possible outcomes. ambiguity risks are managed by  defining those areas where there is a deficit of knowledge or understanding, then filling the gap by obtaining  expert external input or benchmarking against best practices. ambiguity is also addressed through incremental  development, prototyping, or simulation.  project resilience. the existence of emergent risk is becoming clear, with a growing awareness of so-called  unknowable-unknowns. these are risks that can only be recognized after they have occurred. emergent risks  can be tackled through developing project resilience. this requires each project to have:  right level of budget and schedule contingency for emergent risks, in addition to a specific risk budget for  known risks;  flexible project processes that can cope with emergent risk while maintaining overall direction toward project  goals, including strong change management;  empowered project team that has clear objectives and that is trusted to get the job done within agreed- upon limits;  frequent review of early warning signs to identify emergent risks as early as possible; and  clear input from stakeholders to clarify areas where the project scope or strategy can be adjusted in response  to emergent risks.  integrated risk management. projects exist in an organizational context, and they may form part of a program  or portfolio. risk exists at each of these levels, and risks should be owned and managed at the appropriate level.  some risks identified at higher levels will be delegated to the project team for management, and some project  risks may be escalated to higher levels if they are best managed outside the project. a coordinated approach to  enterprise-wide risk management ensures alignment and coherence in the way risk is managed across all levels.  this builds risk efficiency into the structure of programs and portfolios, providing the greatest overall value for a  given level of risk exposure.not for distribution, sale or reproduction. tailoring considerations because each project is unique, it is necessary to tailor the way project risk management processes are applied.  considerations for tailoring include but are not limited to:  project size. does the project size in terms of budget, duration, scope, or team size require a more detailed  approach to risk management? or is it small enough to justify a simplified risk process?  project complexity. is a robust risk approach demanded by high levels of innovation, new technology, commercial  arrangements, interfaces, or external dependencies that increase project complexity? or is the project simple  enough that a reduced risk process will suffice?  project importance. how strategically important is the project? is the level of risk increased for this project  because it aims to produce breakthrough opportunities, addresses significant blocks to organizational  performance, or involves major product innovation?  development approach. is this a waterfall project, where risk processes can be followed sequentially and  iteratively, or does the project follow an agile approach where risk is addressed at the start of each iteration as  well as during its execution? tailoring of the project risk management processes to meet these considerations is part of the plan risk management  process, and the outcomes of tailoring decisions are recorded in the risk management plan. considerations for agile/adaptive environments high-variability environments, by definition, incur more uncertainty and risk. to address this, projects managed using  adaptive approaches make use of frequent reviews of incremental work products and cross-functional project teams to  accelerate knowledge sharing and ensure that risk is understood and managed. risk is considered when selecting the  content of each iteration, and risks will also be identified, analyzed, and managed during each iteration. additionally, the requirements are kept as a living document that is updated regularly, and work may be reprioritized  as the project progresses, based on an improved understanding of current risk exposure.",['https://i.ibb.co/JtWQnYR/figure-11-0.png'],['figure 11-1'],"

Project risk management includes the processes of conducting risk management planning, identification, analysis, response planning, response implementation, and monitoring risk on a project. The objectives of project risk management are to increase the probability and/or impact of positive risks and to decrease the probability and/or impact of negative risks, in order to optimize the chances of project success.","['management of overall project', 'risk on a project', 'project risk management', 'project', 'project risk', 'project risk management processes', 'risk', 'risk management', 'risks', 'individual project risks']",,
11.1,plan risk management," plan risk management is the process of defining how to conduct risk management activities for a project. the key benefit of this process is that it ensures that the degree, type, and visibility of risk management are proportionate to both risks and the importance of the project to the organization and other stakeholders. this process is performed once or at predefined points in the project. the inputs, tools and techniques, and outputs of the process  in .  depicts the data flow diagram for the process.not for distribution, sale not for distribution the plan risk management process should begin when a project is conceived and should be completed early in the project. it may be necessary to revisit this process later in the project life cycle, for example at a major phase change, or if the project scope changes significantly, or if a subsequent review of risk management effectiveness determines that the project risk management process requires modification.",['https://i.ibb.co/mNXkNrt/figure-11-1.png'],"['figure 11-2', 'figure 11-3']","Plan Risk Management is the process of defining how to conduct risk management activities for a project. The key benefit of this process is that it ensures that the degree, type, and visibility of risk management are proportionate to both risks and the importance of the project to the organization and other stakeholders. This process is performed once or at predefined points in the project. The inputs, tools and techniques, and outputs of the process in . depicts the data flow diagram for the process.","['activities for a project', 'management is the process', 'conduct risk management activities', 'project risk management process', 'plan risk management process', 'risk management process', 'risk management', 'conduct risk management', 'risk management activities', 'plan risk management']",subclass of,risk management
11.1.1,plan risk management: inputs,,[],[],"
Plan Risk Management: Inputs are the processes used to plan and define the risk management activities associated with a project, including assessing the risk environment, identifying potential risks, analyzing their impact, developing response plans, and setting up structures for monitoring and responding to risks.",[],,
11.1.1.1,project charter,"  the project charter documents the high-level project description and boundaries, high- level requirements, and risks.not for distribution, sale or reproduction.",['https://i.ibb.co/3y7QhkT/figure-11-2.png'],['section 4.1.3.1.'],"

A project charter is a document that documents the high-level project description and boundaries, high-level requirements, and risks.","['project description and boundaries', 'charter documents the high-level', 'project charter documents', 'documents the high-level project', 'high-level project description', 'level requirements', 'sale or reproduction', 'description and boundaries', 'risks.not for distribution', 'charter documents']",facet of,project
11.1.1.2,project management plan,"  in planning project risk management, all approved subsidiary management plans should be taken into consideration in order to make the risk management plan consistent with them. the methodology outlined in other project management plan components might influence the plan risk management process.",[],['section 4.2.3.1.'],"

Project Management Plan: A methodology outlined in other project management plan components which might influence the plan risk management process.","['approved subsidiary management plans', 'planning project risk management', 'risk management plan consistent', 'approved subsidiary management', 'plan risk management process', 'planning project risk', 'subsidiary management plans', 'management plan consistent', 'project management plan components', 'risk management']",facet of,project risk management
11.1.1.3,project documents,"project documents that can be considered as inputs for this process include but are not limited to the stakeholder register as   the stakeholder register contains details of the project stakeholders and provides an overview of their project roles and their attitude toward risk on this project. this is useful in determining roles and responsibilities for managing risk on the project, as well as setting risk thresholds for the project.",[],['section 13.1.3.1.'],"

Project documents are inputs that can be used in the process of managing risk on a project. These documents can include the stakeholder register, which contains details of the project's stakeholders and provides an overview of their project roles and their attitude toward risk.","['register as the stakeholder', 'stakeholder register contains details', 'stakeholder register', 'considered as inputs', 'process include', 'determining roles and responsibilities', 'project', 'project documents', 'register contains details', 'responsibilities for managing risk']",,
11.1.1.4,enterprise environmental factors,the enterprise environmental factors that can influence the plan risk management process include but are not limited to overall risk thresholds set by the organization or key stakeholders.,[],[],"

Enterprise environmental factors: overall risk thresholds set by the organization or key stakeholders.","['plan risk management process', 'risk management process include', 'organization or key stakeholders', 'enterprise environmental factors', 'management process include', 'influence the plan risk', 'plan risk management', 'risk management process', 'risk thresholds set', 'key stakeholders']",facet of,risk analysis
11.1.1.5,organizational process assets,"the organizational process assets that can influence the plan risk management process include but are not limited to:  organizational risk policy;  risk categories, possibly organized into a risk breakdown structure;  common definitions of risk concepts and terms;  risk statement formats;  templates for the risk management plan, risk register, and risk report;  roles and responsibilities;  authority levels for decision making; and  lessons learned repository from previous similar projects.not for distribution, sale or reproduction.",[],[],"

Organizational process assets are items such as organizational risk policy, risk categories, definitions of risk concepts and terms, templates for the risk management plan, risk register and risk report, roles and responsibilities, authority levels for decision making, and lessons learned repository from previous similar projects.","['templates for the risk', 'plan risk management process', 'risk management process include', 'plan risk management', 'risk management process', 'risk management plan', 'organizational risk policy', 'management process include', 'risk breakdown structure', 'risk concepts and terms']",facet of,organizational process
11.1.2,plan risk management: tools and techniques,,[],[],"
Plan risk management: tools and techniques are used to identify, prioritize, and respond to project risks throughout the project lifecycle. These tools and techniques help project managers and their teams analyze the project environment, identify potential risks, assess the associated risk, develop appropriate strategies to reduce and manage the risk, and continuously monitor the risk.",[],,
11.1.2.1,expert judgment,"  expertise should be considered from individuals or groups with specialized knowledge or training in the following topics:  familiarity with the organization approach to managing risk, including enterprise risk management where this is performed;  tailoring risk management to the specific needs of a project; and  types of risk that are likely to be encountered on projects in the same area.",[],['section 4.1.2.1.'],"

Expert judgment is the specialized knowledge or training that individuals or groups possess on topics related to risk management.","['familiarity with the organization', 'management to the specific', 'including enterprise risk management', 'including enterprise risk', 'groups with specialized knowledge', 'specialized knowledge or training', 'enterprise risk management', 'tailoring risk management', 'approach to managing risk', 'risk management']",subclass of,expertise
